entryId	lemma	partOfSpeech
awn4-e162ae659c97d	قرن الدانتيل	n
awn4-e162b10273585	حزّام	n
awn4-e162d805e9d9f	هيكل تكاثري	n
awn4-e162edd3110ac	ذبابة مايو	n
awn4-e162f402b4df9	مُعَامِل الِانْكِسَار	n
awn4-e163000bb7d42	أعاد الالتزام	v
awn4-e163200868ad9	بقسماط	n
awn4-e16329a707871	دَقَّ (المحرك)	v
awn4-e1632d18003a8	الفصيلة الأقنثية	n
awn4-e163316767789	أداة قياس	n
awn4-e16333c4e36a7	بشكل واهٍ	r
awn4-e16344868ea5f	صَافِي الذِّهْن	a
awn4-e1635a1b5fca6	دوبوك	n
awn4-e163609d5ef40	جنس فوكس	n
awn4-e1636405d7844	نيوتوما	n
awn4-e1639d5675210	اعْتِيَادِيَّة مُمِلَّة	n
awn4-e1639dcbbf9d6	عربة نقل بدواسات	n
awn4-e1639e4afd5cd	نَقَضَ الخِيَاطَة	v
awn4-e163a15d7427c	عقاب صرارة	n
awn4-e163a2f02ccc6	توسع وريدي	n
awn4-e163a69400be0	خشب بادوك	n
awn4-e163afb0297bd	غير متدين	a
awn4-e163b0f05a6d6	زيت الفقمة	n
awn4-e163b134f0b59	الدفعة المتخرجة	n
awn4-e163c3b2ce8a6	هرمون محفز للخلايا الصبغية	n
awn4-e163c70af7045	النقابات العمالية	n
awn4-e163cc1653d1e	تحميل الكربوهيدرات	n
awn4-e163cdd7ccc27	مقياس حرارة بيكمان	n
awn4-e163d23757237	باراغوريك	n
awn4-e163daa8dc60f	نيابة طبية	n
awn4-e163dd88f6d32	انْصَبَّ	v
awn4-e163e2bbe202a	ثَلَاثُمِئَة	s
awn4-e163e5c4ba38a	جرموق	n
awn4-e163ebba356a2	عصب صادر	n
awn4-e163ec36f5c95	الباحة الخارجية	n
awn4-e163f309c3a32	فلجة	n
awn4-e163fb0f1dae9	كونيلورس	n
awn4-e1640d8bc82d3	هابانيرا	n
awn4-e1640facfca4f	برميل لحم الخنزير (مجازاً)	n
awn4-e16418db87551	دفع بعجالة	n
awn4-e1641bddc5796	غرونوبل	n
awn4-e16431f21291a	زاوية الانكسار	n
awn4-e164336827806	عبوة	n
awn4-e1645cac7fafa	أوريتس	n
awn4-e16461faee264	غاليوبسيس	n
awn4-e164668877e04	جنطيانا مهدبة مقصوصة	n
awn4-e164675f96166	فصيلة الأيليات	n
awn4-e1648a01af305	تكسب	n
awn4-e1648bb529008	هاري كلاينفلتر	n
awn4-e1648d1ac9def	زنبورك	n
awn4-e1648dc1d800c	فَرِيد	s
awn4-e1649d9b7f701	تَكَافُلِيّ	s
awn4-e164c7c95d9c4	قطار جبلي مائل	n
awn4-e164d15ad6e6a	مُثمِّن الممتلكات	n
awn4-e164d3286daf4	مُثَنَّى الزَّوَايَا	s
awn4-e164dc19cc024	قابل للحزم	a
awn4-e164e006bca2e	قفزة رأسية	n
awn4-e164e5bf15cee	حق استعادة الحيازة	n
awn4-e164eac05fd39	رتبة	n
awn4-e164eb9003c3e	بِلَا رِيَاح	s
awn4-e164ebe1162ea	فصيلة التيروداكتيليات	n
awn4-e164fcfd24e48	مدخرات	n
awn4-e16500a217b98	سرب بحري	n
awn4-e1650271be316	كا	n
awn4-e16505235f4d2	توغو	n
awn4-e16508ac8e882	فيرونيز	n
awn4-e165091143b6a	جذر المرجان المتوج	n
awn4-e16518388ba1d	غَرِيب	n
awn4-e165274310322	غَيْر مُحَرَّك	s
awn4-e1653159d2937	أكثر	a
awn4-e1653d83e33fc	عاطفة جياشة	n
awn4-e1654238b5030	جنس إيفيستيا	n
awn4-e1654326c4fe3	قَطَعَ الطَّاقَة	v
awn4-e1654877542ac	قناة إري	n
awn4-e1654e3d977f2	مُتَوَارٍ	s
awn4-e16557e206523	تدوين لاحق	n
awn4-e1655b54c6d02	سيميتيدين	n
awn4-e16565670fd5f	سيث توماس	n
awn4-e1656c8da99ed	تهريب الأسلحة	n
awn4-e1656f89210b2	ألزاسي	a
awn4-e16573a4d0b8a	منصب فخري	n
awn4-e16581d7a963f	تفاح غرايمز الذهبي	n
awn4-e16584affe64e	لينشبورغ	n
awn4-e16587e459433	انْتَقَى	v
awn4-e1658b3ed131d	مضاد للأكسدة	n
awn4-e1658c0202b50	شخصية عامة	n
awn4-e1658c5960fac	أَلْزَمَ	v
awn4-e165a692a7a94	متساوي الأضلاع	n
awn4-e165add0099aa	درع صفائحي كامل	n
awn4-e165b0bd9580a	احتلال	n
awn4-e165b49b0ac98	بلا فكاهة	r
awn4-e165c120c29cf	أُنْثَوِيُّ الطِّبَاعِ	s
awn4-e165c52014119	كليوباترا	n
awn4-e165c994ff1a8	لعن	n
awn4-e165ceeb1f305	بافونيا	n
awn4-e165e5731afb8	مُعَامِل الحَثّ المُتَبَادَل	n
awn4-e165e7ccf5f96	مسؤول حسابات	n
awn4-e165fd657ae2e	بِلَا سَتَائِر	s
awn4-e16600391f4f7	شيترا	n
awn4-e1660865ec7c8	عشب الأرز	n
awn4-e1660e86cc7e8	تجنيد	n
awn4-e166252d3c436	لاجون	n
awn4-e1662b09bd24f	بشكل غير عادي	r
awn4-e16659acc3ab3	الباستيل	n
awn4-e1665bcda1aa1	مادة رابطة	n
awn4-e1665d986c92f	هازجة أودوبون	n
awn4-e1666b65b6b1d	نانتشانغ	n
awn4-e1667253973fd	سلع استهلاكية	n
awn4-e16677b970fb8	تأهب للقتال	n
awn4-e1667b2b8c387	كيب كانافيرال	n
awn4-e1668e9c59dec	يونغزتاون	n
awn4-e166902fa254b	محفّة مغطاة	n
awn4-e166a3263a1aa	قدم عطاء	v
awn4-e166a87077db0	مَفْعَم بِالحِقْد	s
awn4-e166abd97d002	عالم بيئة	n
awn4-e166acec1afba	يالتا	n
awn4-e166b4136812a	علم الأحياء الدقيقة	n
awn4-e166b48fee81d	حرش	n
awn4-e166bc87d958d	سرير توأم	n
awn4-e166bff7287d8	نظام تحكم	n
awn4-e166c29f4ed67	سائق سيارة	n
awn4-e166d1cbc6723	نَبْرَة	n
awn4-e166d349aca4f	زان روبل	n
awn4-e166d66fdf5ef	اسْتَدَلَّ بالقياس	v
awn4-e166d698f2bae	فيروس داء الكلب	n
awn4-e166e2b9f5bbd	ذهان	n
awn4-e166ec441b31a	ثيرمومتر	n
awn4-e166f338e7642	أَمْطَرَ بِوَابِل مِن النَّار	v
awn4-e1670bd3c883a	نافذة بارزة	n
awn4-e167105347d92	جَعَلَهُ أَدْكَن	v
awn4-e1672cdb83924	اندلع	v
awn4-e16736d2e0413	لويس هارولد غراي	n
awn4-e16739848ad4e	جنس سيراتودوس	n
awn4-e1673aecd667b	كوليريدج	n
awn4-e1674665aea97	غطاء أرضي حرجي	n
awn4-e1674ffc82f94	كسب الموافقة	v
awn4-e16752f6acafa	البربيت	n
awn4-e167661e44431	حركة الركاب اليومية	n
awn4-e16790802fad2	غير شبيه	a
awn4-e1679dc7c6cc6	إعادة اتصال	n
awn4-e167a22cfa345	مفرقعة تصادمية	n
awn4-e167aaf5b2d67	رقبة دائرية	n
awn4-e167e084d3e2a	زعم حق	n
awn4-e167e68e77932	جنس جلوسينا	n
awn4-e167ed19b6642	يأكل في المنزل	v
awn4-e167f4e3de5e3	تخيل	n
awn4-e167f9232aef7	كساد مفاجئ	n
awn4-e167febf9bc76	مارك ألماني	n
awn4-e16811814ecc9	ثيتا	n
awn4-e1681b240ead7	هاردبيك	n
awn4-e168202491de4	الفصيلة القرنية الأسنان	n
awn4-e168246e80992	بناء على هذا	r
awn4-e168263cf75b5	بصغار نفس	r
awn4-e1682ba0a1d6f	ثلاثي كلوريد	n
awn4-e1683a9027dfa	مشيمي	a
awn4-e1683d57d28a8	ستارتس	n
awn4-e168434d7000b	بخط غير مقروء	r
awn4-e168601b6bfcd	التهاب اللسان لمولر	n
awn4-e168687126cb3	سطح المؤخرة	n
awn4-e1686bd3afe06	ياسمين بري فرجيني	n
awn4-e1686d0ec3e67	ملحق ملون	n
awn4-e16881b1f15b7	فصيلة العلنديات	n
awn4-e1688b7594e42	إينوزيتول	n
awn4-e1688e8d9c996	رتيبة الصوروبوديات	n
awn4-e16893cee2304	اعتزل في القمة	v
awn4-e168a15a8b392	تعطيل متعمد	n
awn4-e168a73af503b	برود	n
awn4-e168a8bdc4c2a	قلة اليوزينيات	n
awn4-e168acba54862	الدرع الكندي	n
awn4-e168ad8bd4db1	بارثي	a
awn4-e168b13045585	آلة تلميع دقيق	n
awn4-e168b3d5eb3fa	برنامج السباق	n
awn4-e168c33e523b9	تَرَاجَعَ بسرعة	v
awn4-e168c552e8bcb	جنس ريبس	n
awn4-e168cc9d20401	عالم الفن	n
awn4-e168d2e29002c	جمهور القراء	n
awn4-e168d6d6a20d4	أَبَّنَ	v
awn4-e168d7672d986	جمرة	n
awn4-e168e5dc62b28	اغْتَالَ (فِي لُعْبَة)	v
awn4-e168ed4021d43	شِبْهُ كُرَوِيّ	s
awn4-e168f6bb4eb61	ملعقة مصفاة الشاي	n
awn4-e168f6dcb9759	طائرة تجارية	n
awn4-e169007a083ec	توهج ذهبي	n
awn4-e169031f27b34	غريت فولز	n
awn4-e16916d1ff384	واتس	n
awn4-e169268e3a1da	صوت الإوز	n
awn4-e169324efe14f	تَذَمَّرَ بِبُكَاءٍ	v
awn4-e169345ead36c	بنت	n
awn4-e16935891162b	رسم بالغسل	n
awn4-e16938f6b8821	الوالد	n
awn4-e1693a1b0a836	عدم الاحتمال	n
awn4-e1693f5581f8f	بِدُون تَوَقُّف	s
awn4-e16943ae8dc4b	زاعق	n
awn4-e16949c4b57ec	تَمَاثُل مِرْآتِيّ	n
awn4-e16949e4b74af	غَيْر مُسَبِّب لِلْإِدْمَان	a
awn4-e169506f4d491	وحدة جيش	n
awn4-e16950dd58ed7	جهاز	n
awn4-e1695fecb6a5a	موارد بشرية	n
awn4-e16961cf26f9c	فاعل خير متطوع	n
awn4-e16962a2da8f3	طالب لاهوت	n
awn4-e16965fb0313b	مُخْتَزَل	s
awn4-e1696b364a8ae	سفينة	n
awn4-e169815e32f43	خليط أرقط	n
awn4-e16981ac0257d	شِبْه عَامّ	s
awn4-e1699154b916f	سيتوبلاستي	a
awn4-e169960c2f507	ديباريا	n
awn4-e16997664b912	بشكل غير مفهوم	r
awn4-e16997a934f8d	حمض الكابريليك	n
awn4-e1699e51f0694	شريط موبيوس	n
awn4-e169a1650bbdc	بائع الخردة	n
awn4-e169a4c7c7394	لَقَب مُهِين	n
awn4-e169a80d0f6c0	رَاهِن	s
awn4-e169b3fc5bc74	في بعض الأحيان	r
awn4-e169c4e9c1ab7	الفصيلة البسباسية	n
awn4-e169c5f023c25	ثُلَاثِيّ الأَرْجُل	s
awn4-e169c65e6ba66	واضع السياسات	n
awn4-e169ca89d8e93	في الطريق	r
awn4-e169d0970c37e	سنا بري	n
awn4-e169def52331a	قضى	v
awn4-e169e1cbcc87a	غبار الذهب	n
awn4-e169e2a516ff7	النَّائِب العامّ	n
awn4-e169ec6fa2505	حركة العين الرمشية	n
awn4-e169f4b31a3e6	شريط تقليص الشراع	n
awn4-e169f7afa3c15	جزيرة وايت	n
awn4-e169fddba6ce5	لَا تَزَامُن	n
awn4-e169ff4635c02	سيريلا	n
awn4-e16a003fc7041	باب ثنائي الطي	n
awn4-e16a02dd54e05	استجمام بحري	n
awn4-e16a0a65d9468	ردغة	n
awn4-e16a14d80cc89	نِدَاء الْحُرَّاس	n
awn4-e16a1e2f941ca	سايرز	n
awn4-e16a2167e6616	العمارة البيزنطية	n
awn4-e16a318e26e66	مسحوق الفحم القاري	n
awn4-e16a320f058ea	حَلَقَة شَعْر	n
awn4-e16a335a00026	تنحيف	n
awn4-e16a3fe0ebc18	قمة ويلر	n
awn4-e16a473c713c2	إبدال صوتي	n
awn4-e16a48afdcda6	ميد-أون	n
awn4-e16a511bc1c84	عامل متجول أسترالي	n
awn4-e16a548c8d2e5	عِرْق	n
awn4-e16a6a3d41c2a	جول دي غونكور	n
awn4-e16a6ec18068d	صِنَاعِيّ الشِّدَّة	s
awn4-e16a7823fe669	كريستوف فيليبيلد غلوك	n
awn4-e16a7e835affe	انْقَضَّ	v
awn4-e16a835d88d5f	مُثَار جِنْسِيًّا	s
awn4-e16a860249562	آن هاتشينسون	n
awn4-e16a8e84f9e0b	عجز الميزان التجاري	n
awn4-e16a9daa4c203	نَبَرَ	v
awn4-e16ab6db94741	ووهان	n
awn4-e16abcd959c8f	فدي	n
awn4-e16ac09946e75	ورم القزحية	n
awn4-e16ac246ca634	لغة ترميز النص التشعبي	n
awn4-e16ac3d235d9d	جنوب أفريقي	a
awn4-e16acd1d8e334	سيال عصبي	n
awn4-e16ad76aa0f3a	جنس بوناسا	n
awn4-e16ad7a7a55f4	برقوق كندا	n
awn4-e16addab8da56	مضيق ملقا	n
awn4-e16ae712e5f0d	إشهار	n
awn4-e16aea60157b0	عَدَد السُّكَّان	n
awn4-e16aef204b0b5	سباديلا	n
awn4-e16b06cab3a18	عَطْف مُخَالِف	n
awn4-e16b0d84ac216	وحدة صرفية	n
awn4-e16b0fc03dd12	إل ليبرتادور	n
awn4-e16b11674f85a	تعليم ديني شفهي	n
awn4-e16b1578a1cf2	مُغَرِّب	s
awn4-e16b238b94d28	روح العصر	n
awn4-e16b242773656	العمارة اليونانية الرومانية	n
awn4-e16b334c8faec	مبابان	n
awn4-e16b366c9e21e	أوتوس	n
awn4-e16b42156ea37	أصرّ على الانتظار	v
awn4-e16b4536dbe47	مصباح دوبرينر	n
awn4-e16b4ad18dfcf	شريان عيني	n
awn4-e16b4d9b7469e	الغابة السوداء	n
awn4-e16b580e6a24f	مُعَبَّأٌ مُسْبَقًا	s
awn4-e16b60bc93293	مراسلة جنسية	n
awn4-e16b825bd6010	جنس نيمفاليس	n
awn4-e16b8b5181eed	وزن فوق الثقيل	n
awn4-e16b8d4753135	قابل للنفي	a
awn4-e16b9f48739bc	أفلاطوني	a
awn4-e16ba7253ab5f	باستيت	n
awn4-e16baa98e4773	حساب وصاية	n
awn4-e16bb70d44f41	مقيم	a
awn4-e16bc658aafdb	موسيقى صوتية	n
awn4-e16bcb1474133	دوار رئيسي	n
awn4-e16bdb8f3939e	رَكِيكُ الحِسّ	s
awn4-e16bdee9a9271	الفصيلة الديودونتية	n
awn4-e16be40998fad	كروماتوغرافي	a
awn4-e16becbd735a2	كَلَام مُلْتَبِس	n
awn4-e16c026b8c5cb	سَبَرَ (الْعُمْقَ)	v
awn4-e16c1098acecf	أمانة سر	n
awn4-e16c128686e23	مُتَلَوِّن	n
awn4-e16c149aa4fd1	قيق كندي	n
awn4-e16c170cab9f5	إلوسين	n
awn4-e16c211ea1fd5	متنقل	a
awn4-e16c257bf1fdb	غلوكوفاج	n
awn4-e16c34dd4daba	اسمياً	r
awn4-e16c3a77f59e1	أفارام	n
awn4-e16c46d1b22f8	أَمَّمَ	v
awn4-e16c484be0cf1	عروس الحرب	n
awn4-e16c540732eab	كولورادي	n
awn4-e16c5664363b0	شركة مواصلات	n
awn4-e16c58aba8c24	بيان الدخل	n
awn4-e16c5c6670a58	معركة سيمباخ	n
awn4-e16c604aa19c2	شربات	n
awn4-e16c6336fc748	عضلي هيكلي	a
awn4-e16c69fbf62dd	دفل	n
awn4-e16c729fec8be	استخبارات استراتيجية	n
awn4-e16c90250805d	إطار شد القماش	n
awn4-e16c9057e888a	بروتين الفضة الخفيف	n
awn4-e16c9655cfb31	غَيَّرَ الاتِّجَاه	v
awn4-e16c9fa7fd015	بريد الحفظ	n
awn4-e16ca6af45cbb	بيت ممتلئ	n
awn4-e16cc314ed1b7	استثار	v
awn4-e16cc329c75bb	برازيلي	n
awn4-e16ccc24060ce	سيارة كوبيه	n
awn4-e16cd22c3a344	مؤسس شريك	n
awn4-e16cd53f36e74	مَطَّ	v
awn4-e16cdfd1686bf	قانون التوزيع	n
awn4-e16ce52268709	وريد مبيضي	n
awn4-e16ce57f1973a	افتقد	v
awn4-e16cec0fb64d1	كانسة ميكانيكية	n
awn4-e16cf7b5b6c18	عَكْسِيًّا	r
awn4-e16d01c154a4b	زاد الطين بلة	v
awn4-e16d0a02c9a00	نِدِّيَّة	n
awn4-e16d0de38e024	خنفساء	n
awn4-e16d21407baed	طيور طائرة	n
awn4-e16d223f494ad	جنس بيروي	n
awn4-e16d22ec701bc	فصيلة المنيوات	n
awn4-e16d27219833d	خَائِف مِنَ اللهِ	s
awn4-e16d38e5546de	شيطان تسمانيا	n
awn4-e16d39f775959	خشب الكافور	n
awn4-e16d3e4123a42	رفض	v
awn4-e16d51181148e	مفرقعة سكة حديد	n
awn4-e16d5e68f3cc8	أَرْجَعَ	v
awn4-e16d69e33ff8d	خثرة الفول	n
awn4-e16d6d73561b6	كلب البج	n
awn4-e16d8064a9acd	جملة تابعة	n
awn4-e16d8ce320d92	ملي فولت	n
awn4-e16d92d5c4cb2	أرثوبيدي	a
awn4-e16d9ea05c699	ريالغار	n
awn4-e16da71d8fd2c	هندباء خنزيرية	n
awn4-e16dbc7ff78fa	طاحونة ضوئية	n
awn4-e16dc5f12c993	إثارة جنسية	n
awn4-e16dcf3969c62	نفرتيتي	n
awn4-e16dd0d9fa496	كاثوليكية رومانية	n
awn4-e16dd4d8fca5f	عاج	n
awn4-e16dd67cd2bf1	مونردة السهول الليمونية	n
awn4-e16dd7aff87bb	جي آر آر تولكين	n
awn4-e16ddf100b301	أرض استيطان	n
awn4-e16de934c20c0	حرف كبير بسيط	n
awn4-e16dee755bfcf	سوق المزارعين	n
awn4-e16df0a7dd6b4	يفسد	v
awn4-e16e14f3c75cb	بارثينيوم	n
awn4-e16e2c9eac8f1	ميناء حر	n
awn4-e16e301e3379d	نقابي	a
awn4-e16e3f5409fe1	شجرة الساتان	n
awn4-e16e4025f1a46	بشكل مثير	r
awn4-e16e423e3cbe8	نقار الخشب أصفر العمود	n
awn4-e16e42f2b0c2c	هوامبو	n
awn4-e16e49ab0196a	تغذية وريدية	n
awn4-e16e53d04ae84	تجبر	n
awn4-e16e579a2c3d2	غوستاف السادس أدولف	n
awn4-e16e5d4fa1a19	تدلي الصمام التاجي	n
awn4-e16e60c1bdb69	مُزْدَوَج الغَرَض	s
awn4-e16e65106dae3	هدالي	a
awn4-e16e6ed36ef9f	شُعُور	n
awn4-e16e80362f8d0	قطيع الخيول البديلة	n
awn4-e16ea26c669c3	خفي الشكل	a
awn4-e16ea618a1c97	حليب مسخن	n
awn4-e16eb4b25394a	أخصائي علم الأمراض	n
awn4-e16eb5fee0900	خلية بصرية	n
awn4-e16ec12919697	بلوتوس برتقالي	n
awn4-e16ec92db5649	شارة استحقاق	n
awn4-e16ed5296449d	يتجرع	v
awn4-e16edf65fdc93	توهج	v
awn4-e16edff5dac7c	كَثِيرَة حُدُود مُتَجَانِسَة بِمُتَغَيِّرَيْن	n
awn4-e16ee5a9021c5	ساعات العمل	n
awn4-e16ee852ae6cc	غيب	a
awn4-e16eee8fec14a	زجاجة حبر	n
awn4-e16ef51d5122a	طويئفة الثدييات الأولية	n
awn4-e16f044eb8ffd	ممران شجرة الجنجل	n
awn4-e16f0c98cdfd2	مانزانيتا زغبية	n
awn4-e16f11a67104a	دراسات السلم والنزاع	n
awn4-e16f146dcba09	فصيلة بكتيرية	n
awn4-e16f1629696bf	كسا بألواح خشبية	v
awn4-e16f21f47690d	فشاغ بري	n
awn4-e16f23329c905	جاهز للتسليم	a
awn4-e16f2c45398e0	اَلسَّبْعُونَ	s
awn4-e16f2e2badb1f	صرفي صوتي	a
awn4-e16f365871002	جراية ميدانية	n
awn4-e16f3bdaaa31b	سلسلة الأكتينيدات	n
awn4-e16f4d53f82c2	حشرة قشرية مدرعة	n
awn4-e16f662c40545	نوبة سكر	n
awn4-e16f669888a40	صفراء الساق الصغرى	n
awn4-e16f7bb62a29a	تَمَفْصَلَ	v
awn4-e16f7e979c2a3	تقديم وتأخير	n
awn4-e16f7f54d8f6a	كوسة	n
awn4-e16f862087934	برمائيات	n
awn4-e16f876466088	وصيف	n
awn4-e16f8ed58649d	زَيَّنَ الدَّابَّة	v
awn4-e16f968d38def	شجرة اللك	n
awn4-e16f9d387ada3	جنس كيجلاريا	n
awn4-e16f9dd7f1739	مُطَوَّل	s
awn4-e16f9e22caf36	عَدَم يَقِين	n
awn4-e16fa2365edb6	جماعانية	n
awn4-e16fa33181137	هيموفيليا	n
awn4-e16faa16185e3	حلقة حبل	n
awn4-e16faaee6c8ff	ملف كهربائي	n
awn4-e16fb192fec17	مانغروف أبيض	n
awn4-e16fb2428bd9c	بشكل محموم	r
awn4-e16fcabd277d3	ضربة ثلاثية مستقيمة	n
awn4-e16fcf1633b13	غزل عذري	n
awn4-e16fd6c6937f4	نقل السكن	n
awn4-e16fda0d3e826	خبيزة كاذبة	n
awn4-e16fda1ed580f	انحراف معياري	n
awn4-e16fdd7e0352a	تمدد	v
awn4-e16fdf94dee3e	غَيْر مُشْتَقّ	s
awn4-e16fe6f0097e1	معركة مونماوث كورت هاوس	n
awn4-e16fffb53c420	تشارلز ديغبي هارود	n
awn4-e16fffcce4037	أب حاضن	n
awn4-e1700384e6a75	فطر الأذن	n
awn4-e170151f1a6ac	سلفادورا	n
awn4-e1701acd0b811	مفتاح العجل	n
awn4-e170255e07aeb	كَشَفَ (إلهياً)	v
awn4-e170379d8f2d0	جنس ديكتوستيليوم	n
awn4-e17043489e981	شيكانو	n
awn4-e17046f75d071	أسفوديل	n
awn4-e170497555fca	إثارة	n
awn4-e170542051645	ثُمْن	n
awn4-e1705ac681129	بَرَقَ	v
awn4-e1706258d0657	بنك مدير	n
awn4-e17069f0f5254	تبادلي	a
awn4-e1706c35ce3c1	روتشيلد	n
awn4-e1706e3d95d26	فونولوجي	a
awn4-e170746e817c5	موقف الريشة (في الأرغن)	n
awn4-e170747f82e3f	نهر أورانج	n
awn4-e17075671af08	الفردانية الصارمة	n
awn4-e170764a68616	أَرْكْتِيكِيّ	s
awn4-e170781c8d466	مستلقياً على الظهر	r
awn4-e1707a5b4d293	ملعب كرة طائرة	n
awn4-e17080992f659	نأى	n
awn4-e17081eb0fe6a	نبت عظمي	n
awn4-e17096e79de85	لوحة الصوت	n
awn4-e1709a60c4c75	نظام تحليل واسترجاع الأدبيات الطبية	n
awn4-e170a2dbbe8ea	شَرِيك مِثَالِيّ	n
awn4-e170af062c571	بائع الحليب	n
awn4-e170bb2224f72	بِلَازْمِيد	n
awn4-e170bb5bc84d8	أَرْجَحِيَّة	n
awn4-e170c3b054416	طليعة الصوروبوديات	n
awn4-e170cfad96ad7	كام-تاي	n
awn4-e170d24ff43da	سرج	n
awn4-e170d7876a8a6	سعد رملي	n
awn4-e170da44fd5ba	جامبوس	n
awn4-e170df3c934e3	سلسلة مضلعة	n
awn4-e17104b9c7be0	ثومي	a
awn4-e17106d7ca517	توفرانيل	n
awn4-e1710932fbbba	قَيْطُس	n
awn4-e17109e461983	سُهُولَة القِرَاءَة	n
awn4-e1710bbc8d6fd	بَزَلَ	v
awn4-e171119bdb815	طلقة نسف	n
awn4-e1712705d0c35	عصير الفيب	n
awn4-e1713d991bc39	2 نوفمبر	n
awn4-e17144eb89829	أجرولوجي	a
awn4-e17151208e8a7	قضاء	n
awn4-e17158934fba7	يصل للركبة	a
awn4-e171646a6d9b6	يوروكيناز	n
awn4-e171670304bd1	أصلي	a
awn4-e1716765a5f77	بشكل خاطئ	r
awn4-e1716aa13526c	إيثانال	n
awn4-e1717991305f1	حلمة الرضاعة	n
awn4-e1717ade3ae85	لَفَّقَ بِرُومَانْسِيَّة	v
awn4-e1717c1c095be	سمكة القمر	n
awn4-e171813c47229	مجلة نقدية	n
awn4-e17182d2d69a4	ويلكينز ميكاوبر	n
awn4-e171889ee5124	طحن	n
awn4-e1718cacabe78	لوحة مفاتيح مونوتايب	n
awn4-e17192707f61d	غدة هضمية	n
awn4-e171969b92205	حي لاتيني	n
awn4-e171a0ee52065	حياد	n
awn4-e171b38e5e0da	محرك فيوزي	n
awn4-e171c37522337	حاسوب دفتري	n
awn4-e171c9efd1053	كلوريس	n
awn4-e171da1bbdabe	شاكوش	n
awn4-e171db03891f6	عقد 1840	n
awn4-e171ed2f2af8d	سيقان مغزلية	n
awn4-e171f83ea4a60	مذهب السعادة	n
awn4-e171fb82d2ad7	مَوَّنَ	v
awn4-e172011e3859d	توكيد	n
awn4-e172023ffdb1b	سطح السائل المقعر	n
awn4-e17204a0d3119	زَادَ ارْتِفَاع	v
awn4-e17218e71682b	سمكة مصاصة	n
awn4-e17234f7ae104	أَجْرَى بحثاً	v
awn4-e1723a6252868	عَدَم تَوْفِيق	n
awn4-e1723b83f2413	احْتَدَمَ	v
awn4-e17240a276f4e	مَعَ أَعْلَى مَرَاتِبِ الشَّرَفِ	s
awn4-e172459135c10	سايغا	n
awn4-e17253ac8b72f	أهورامزدا	n
awn4-e172545201548	تمسّح بالأنف	v
awn4-e17257e628ac0	مُشْرِف	n
awn4-e1725e8bc5ffb	نزل التزلج	n
awn4-e17260677cb88	أُلْفِيّ	s
awn4-e17273b6723d4	انفراج	n
awn4-e1727b5dbd2a6	ساعة بندولية طويلة	n
awn4-e1727d00b5ebd	وَاقِعِيَّة	n
awn4-e1728e79821a7	آفة برية	n
awn4-e172972d76dd7	مضرب حديدي قصير	n
awn4-e17299071a7be	بضحالة	r
awn4-e1729eda361e7	لعقة ملح	n
awn4-e172a9a7ed0c0	غجري	a
awn4-e172acb4da668	طَوِيل وَنَحِيف	s
awn4-e172ae9897588	انضمام	n
awn4-e172afa3d1cae	مشيميات	n
awn4-e172b1dc68d3d	مجانة	n
awn4-e172b8b0c8306	غَيْر مُسَوَّق	s
awn4-e172b8b1b2ea3	جرذ كنغري	n
awn4-e172ba30dd96c	حَسَن الكَلَام	s
awn4-e172c996c48fc	نباتات طحلبية	n
awn4-e172d0993614a	تألق مناعي	n
awn4-e172d5d5d2e04	الدور المضاد	n
awn4-e172da0ac00ab	سراسينية صفراء	n
awn4-e172da5761500	فقدان الذاكرة الشامل العابر	n
awn4-e172dced6df2b	تقبض الحدقة	n
awn4-e172e513a4501	كولبس	n
awn4-e172ea5a28799	هوسمانيت	n
awn4-e172ec3d3b33c	بريتن	n
awn4-e172ecd84f1fb	تجديف	n
awn4-e172ed21e6672	مدير الأمن	n
awn4-e172f439858e7	ويليام روان هاميلتون	n
awn4-e17302abd1ec4	خشب الليمون	n
awn4-e173162ddf814	دائرة قلابة	n
awn4-e1731c1ad0695	كونيني	n
awn4-e1731eb3228ed	شِبْهُ مُتَعَلِّم	s
awn4-e173225bbb590	القديسة تيريزا	n
awn4-e173241e7dc9a	مجرد من المبادئ	a
awn4-e1732ec4f979b	نهر كلايد	n
awn4-e1732f1fbe448	مصلى الترتيل	n
awn4-e1733b9756b36	شُرْطِيّ عَسْكَرِيّ	n
awn4-e1733db082312	صحراء سيناء	n
awn4-e1733fb201160	مُرْسِل بِالْبَرِيد	n
awn4-e1734743e7517	طويئفة جذريات الأرجل	n
awn4-e1734f127c596	الديموطيقية	n
awn4-e17357e38a29f	زلق	a
awn4-e17364f21ed42	سترة إيتون	n
awn4-e1737510ecb38	حرف I	n
awn4-e1738015e5bc2	خشبين	n
awn4-e173946f4a536	عدم القابلية للقسمة	n
awn4-e17395ed20567	يقتات	v
awn4-e173a8eff1f84	عَسِير المَنَال	s
awn4-e173ae9f584c2	سُلَامِيَّة	n
awn4-e173b2c813011	يبتذل	v
awn4-e173b338373c1	وريد تاموري	n
awn4-e173c45111848	مُتَشَتِّت	s
awn4-e173d2aaa959f	نظام الائتمان الزراعي	n
awn4-e173e5ef01a28	سياسة الصقور	n
awn4-e173eca6a7365	اسم المعمودية	n
awn4-e173edf3ebcee	اَلْمِلْيُونُ	s
awn4-e173f9d2c35a5	لوح هيرشي	n
